Test_Time,2025-07-11 04:45:31
Well,A5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),98.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.011,-0.065,0.239,Down
0.231,-0.240,0.237,Down
0.333,-0.516,0.231,Down
0.436,-0.900,0.245,Down
0.539,-1.386,0.239,Down
0.646,-2.006,0.241,Down
0.749,-2.713,0.235,Down
0.856,-3.559,0.241,Down
0.962,-4.446,0.237,Down
1.070,-5.336,0.231,Down
1.176,-6.224,0.241,Down
1.282,-7.113,0.241,Down
1.390,-8.010,0.233,Down
1.497,-8.900,0.231,Down
1.602,-9.775,0.228,Down
1.709,-10.663,0.233,Down
1.814,-11.540,0.228,Down
1.920,-12.364,0.183,Down
2.026,-13.075,-0.303,Down
2.133,-13.683,-0.276,Down
2.239,-14.171,-0.628,Down
2.345,-14.546,-2.824,Down
2.448,-14.803,-6.841,Down
2.551,-14.955,-10.409,Down
2.761,-15.000,-12.920,Down
2.867,-14.948,-13.930,Up
2.973,-14.784,-13.829,Up
3.080,-14.504,-12.675,Up
3.188,-14.109,-11.571,Up
3.295,-13.598,-9.067,Up
3.402,-12.975,-4.824,Up
3.509,-12.235,0.911,Up
3.614,-11.403,4.517,Up
3.718,-10.539,4.314,Up
3.820,-9.685,3.855,Up
3.925,-8.810,3.357,Up
4.031,-7.934,1.892,Up
4.137,-7.049,1.368,Up
4.239,-6.196,1.058,Up
4.343,-5.328,0.865,Up
4.447,-4.465,0.737,Up
4.550,-3.605,0.643,Up
4.657,-2.758,0.585,Up
4.764,-2.020,0.521,Up
4.867,-1.420,0.471,Up
4.973,-0.911,0.436,Up
5.077,-0.522,0.423,Up
5.181,-0.240,0.390,Up
5.283,-0.069,0.353,Up
