Test_Time,2025-07-11 05:39:55
Well,A6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.975
Sampling_Period(ms),10
Well_X(mm),98.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.011,-0.064,0.297,Down
0.230,-0.235,0.284,Down
0.335,-0.520,0.295,Down
0.442,-0.873,0.282,Down
0.545,-1.216,0.278,Down
0.649,-1.564,0.297,Down
0.756,-1.921,0.295,Down
0.859,-2.260,0.289,Down
0.965,-2.616,0.289,Down
1.072,-2.973,0.293,Down
1.180,-3.331,0.295,Down
1.287,-3.688,0.291,Down
1.392,-4.039,0.291,Down
1.496,-4.383,0.297,Down
1.603,-4.742,0.293,Down
1.709,-5.095,0.297,Down
1.816,-5.454,0.291,Down
1.923,-5.808,0.295,Down
2.030,-6.164,0.284,Down
2.136,-6.518,0.284,Down
2.245,-6.881,0.303,Down
2.349,-7.229,0.299,Down
2.455,-7.579,0.297,Down
2.561,-7.934,0.295,Down
2.669,-8.292,0.295,Down
2.771,-8.634,0.299,Down
2.875,-8.980,0.289,Down
2.981,-9.334,0.299,Down
3.089,-9.691,0.301,Down
3.196,-10.050,0.299,Down
3.300,-10.394,0.060,Down
3.407,-10.750,-1.438,Down
3.512,-11.099,-1.618,Down
3.617,-11.451,-1.054,Down
3.723,-11.803,-1.151,Down
3.826,-12.145,-3.264,Down
3.929,-12.489,-7.556,Down
4.033,-12.838,-12.521,Down
4.141,-13.195,-17.771,Down
4.246,-13.545,-22.111,Down
4.353,-13.900,-26.253,Down
4.459,-14.255,-31.977,Down
4.566,-14.600,-38.239,Down
4.673,-14.846,-42.538,Down
4.779,-14.975,-49.283,Down
6.016,-15.000,-56.128,Down
6.123,-14.945,-62.394,Up
6.231,-14.776,-65.957,Up
6.337,-14.496,-65.959,Up
6.440,-14.153,-64.917,Up
6.543,-13.811,-64.042,Up
6.646,-13.466,-63.795,Up
6.750,-13.121,-63.571,Up
6.855,-12.769,-63.367,Up
6.963,-12.411,-63.158,Up
7.070,-12.055,-62.990,Up
7.175,-11.703,-62.834,Up
7.283,-11.346,-62.685,Up
7.389,-10.994,-62.548,Up
7.492,-10.651,-62.407,Up
7.599,-10.294,-62.266,Up
7.706,-9.936,-60.840,Up
7.814,-9.576,-57.000,Up
7.920,-9.224,-50.700,Up
8.024,-8.879,-42.536,Up
8.126,-8.539,-34.510,Up
8.228,-8.198,-27.448,Up
8.335,-7.843,-22.721,Up
8.442,-7.488,-17.096,Up
8.548,-7.133,-10.440,Up
8.655,-6.776,-3.593,Up
8.758,-6.431,1.845,Up
8.865,-6.075,6.090,Up
8.972,-5.719,8.127,Up
9.079,-5.363,7.974,Up
9.183,-5.016,1.065,Up
9.290,-4.661,0.421,Up
9.396,-4.306,0.260,Up
9.502,-3.955,0.177,Up
9.608,-3.603,0.143,Up
9.711,-3.258,0.106,Up
9.818,-2.901,0.096,Up
9.925,-2.545,0.081,Up
10.029,-2.196,0.079,Up
10.132,-1.854,0.075,Up
10.240,-1.496,0.069,Up
10.346,-1.141,0.075,Up
10.450,-0.795,0.075,Up
10.554,-0.453,0.079,Up
10.660,-0.190,0.073,Up
10.766,-0.040,0.067,Up
