Well,Row,Column,SpringConstant_k,R2
A1,A,1,59.744890413280714,0.9980375728505748
A2,A,2,60.61303715695792,0.9969881915616536
A3,A,3,60.02185353857444,0.9969087441937318
A4,A,4,59.296550768534715,0.9969467577193696
A5,A,5,57.89023125134418,0.9966767772088352
A6,A,6,61.213921352351775,0.9965622555346176
A7,A,7,60.85198864892428,0.9976188667684814
A8,A,8,60.99225384175279,0.9978739216331652
A9,A,9,62.16297955784802,0.9968418325968113
A10,A,10,63.85334223753068,0.9975656605361962
A11,A,11,63.79399555769355,0.9976552286715702
A12,A,12,63.99306335360296,0.9969393299706034
B1,B,1,59.70850710460888,0.997292190964233
B2,B,2,58.37709158830295,0.9972467181121044
B3,B,3,57.82804662755638,0.9971237885534648
B4,B,4,57.038786314432286,0.9969470189990172
B5,B,5,56.43905257021262,0.99694414837783
B6,B,6,58.10719434818088,0.9971914658957453
B7,B,7,57.56725930376277,0.9967728357652846
B8,B,8,56.77577058202866,0.9960324964371606
B9,B,9,58.66625461145435,0.9970674339712452
B10,B,10,60.49848720768418,0.9969826334866098
B11,B,11,62.68663118797987,0.9974729882442032
B12,B,12,62.83190224859665,0.9971762760938911
C1,C,1,56.644855197443135,0.9964718420150616
C2,C,2,57.24306308453136,0.9972868744167476
C3,C,3,55.45304771800665,0.9974224050445312
C4,C,4,55.88365229668569,0.996903950921387
C5,C,5,54.65953426979063,0.99708643394175
C6,C,6,55.09289454603316,0.9969280369955476
C7,C,7,55.22633785633791,0.9970921039032336
C8,C,8,56.05531079173985,0.9975637732516076
C9,C,9,57.13926030832867,0.9961764899080008
C10,C,10,59.85070785813547,0.9970659123338028
C11,C,11,60.14470549172387,0.9980304649613532
C12,C,12,61.93113825883368,0.9975607859445784
D1,D,1,55.01412941566051,0.9972636316908732
D2,D,2,54.762501197705625,0.9966866792942938
D3,D,3,53.678400825139626,0.9968467221686378
D4,D,4,53.01114430468165,0.997395186299857
D5,D,5,53.690263249999255,0.997249331197301
D6,D,6,52.43020918595803,0.9980248442304948
D7,D,7,52.37244955732626,0.9976446476081694
D8,D,8,54.39405818943565,0.99708992414035
D9,D,9,55.6886859383435,0.9976433250318176
D10,D,10,57.49468959848709,0.9978461489504205
D11,D,11,60.11050420142971,0.9980203949451436
D12,D,12,60.17643488291169,0.9971253467947676
E1,E,1,53.58623467903492,0.9971306096587156
E2,E,2,53.64740179810896,0.9968256671339656
E3,E,3,52.58144477763091,0.9977191165609554
E4,E,4,51.8208015604553,0.9974719518022472
E5,E,5,51.5783099510888,0.9972486034298624
E6,E,6,51.00314116333323,0.9981668489928296
E7,E,7,51.546292738694085,0.9986024562344538
E8,E,8,53.13809697100412,0.9973250765379296
E9,E,9,54.80538361111002,0.997662460174534
E10,E,10,56.62072087970023,0.9977916634859122
E11,E,11,58.61897056836201,0.9982277321970532
E12,E,12,59.24887941253164,0.9986234667581636
F1,F,1,53.29747669490587,0.9967075503247694
F2,F,2,52.85740147692704,0.9973032146628648
F3,F,3,52.81121047733875,0.9974728214090888
F4,F,4,51.66343212119462,0.99731834468858
F5,F,5,50.71349142927956,0.9976074241548452
F6,F,6,51.45858342617592,0.9979467581440186
F7,F,7,52.319652912792414,0.997984090004814
F8,F,8,52.49293522216313,0.9979175069294368
F9,F,9,53.97931167492168,0.9979806738510651
F10,F,10,56.1920011580635,0.9983449951018194
F11,F,11,57.953983129805486,0.9986522910288256
F12,F,12,57.89490268289942,0.9977101370391764
G1,G,1,51.596480861092495,0.9947316616703488
G2,G,2,52.23677694053516,0.9972343772117712
G3,G,3,52.50599436788656,0.997656904584214
G4,G,4,52.04172626185802,0.9978381484356688
G5,G,5,51.42201685833781,0.998156579996514
G6,G,6,51.293222997004584,0.9979266102989806
G7,G,7,52.40044089759302,0.9982651869204956
G8,G,8,52.63291771840696,0.9983438361654348
G9,G,9,53.54479773563211,0.9977532191347364
G10,G,10,55.47230956228745,0.9989296017565724
G11,G,11,56.31206731053193,0.9986347564155338
G12,G,12,55.82202637412048,0.9980959529539628
H1,H,1,50.1725307312612,0.9952057747574912
H2,H,2,50.88418278355341,0.99614042993693
H3,H,3,51.95365885542574,0.9981057562149248
H4,H,4,51.75060996489132,0.9980129106260374
H5,H,5,50.51560668917429,0.9983327720558296
H6,H,6,51.44481236607061,0.9981322854030004
H7,H,7,51.586022460736,0.9983245588001338
H8,H,8,52.63128492705507,0.9986219139912036
H9,H,9,53.095056167467646,0.9985383691697708
H10,H,10,54.302995948983906,0.998881366188606
H11,H,11,53.61469632151648,0.9990012752095392
H12,H,12,52.44553493551602,0.9988140969204102
